K (strike),T (maturity),C (call price),V (call volume),A (call ask),B (call bid),P (put price),V (put volume),A (put ask),B (put bid),days_to_maturity,sigma (implied volatility)
175.0,2025-02-28,63.5,16.0,65.2,64.5,0.18,55.0,0.18,0.15,31,0.507184963861578
180.0,2025-02-28,59.39,10.0,60.1,59.45,0.19,71.0,0.21,0.18,31,0.4708723783259354
185.0,2025-02-28,50.9,50.0,55.1,54.35,0.22,7.0,0.24,0.22,31,0.1539885939211026
190.0,2025-02-28,46.12,50.0,50.2,49.65,0.28,48.0,0.29,0.27,31,0.1370736133023167
195.0,2025-02-28,44.53,10.0,45.25,44.8,0.34,99.0,0.36,0.34,31,0.39091460957671
200.0,2025-02-28,39.2,30.0,40.85,39.9,0.46,542.0,0.47,0.44,31,0.37124829226882017
205.0,2025-02-28,35.22,32.0,35.55,34.9,0.64,234.0,0.63,0.62,31,0.353520046901001
210.0,2025-02-28,30.0,14.0,30.95,30.5,0.88,573.0,0.9,0.87,31,0.3347200710954986
215.0,2025-02-28,26.57,58.0,26.4,25.95,1.31,474.0,1.32,1.28,31,0.3231431566904882
220.0,2025-02-28,21.2,421.0,21.85,21.6,1.92,846.0,1.94,1.9,31,0.3114735086867527
225.0,2025-02-28,17.46,471.0,17.7,17.5,2.9,332.0,2.87,2.81,31,0.30245583339428
230.0,2025-02-28,13.9,659.0,13.9,13.75,4.12,436.0,4.2,4.1,31,0.30102817836992984
235.0,2025-02-28,10.55,1045.0,10.75,10.6,5.92,230.0,6.0,5.85,31,0.291043523132176
240.0,2025-02-28,7.95,1668.0,8.0,7.9,8.25,192.0,8.2,8.05,31,0.2918058495524924
245.0,2025-02-28,5.6,1651.0,5.65,5.55,11.22,10.0,11.0,10.9,31,0.28393691889369804
250.0,2025-02-28,3.95,1554.0,4.0,3.9,14.11,90.0,14.4,14.2,31,0.2845774588610695
255.0,2025-02-28,2.71,358.0,2.72,2.66,18.0,17.0,18.25,17.8,31,0.28533182659259504
260.0,2025-02-28,1.82,1535.0,1.85,1.8,37.8,13.0,22.6,21.6,31,0.2867301408679683
195.0,2025-03-07,46.19,6.0,45.6,44.65,0.43,13.0,0.45,0.4,38,0.3700064955760892
205.0,2025-03-07,35.43,20.0,36.2,34.85,0.8,38.0,0.77,0.72,38,0.33759105115902177
215.0,2025-03-07,26.5,33.0,26.75,25.9,1.56,169.0,1.56,1.5,38,0.3097631131275329
220.0,2025-03-07,21.77,6.0,23.05,22.0,2.32,202.0,2.22,2.16,38,0.3038716511894181
225.0,2025-03-07,17.74,146.0,18.25,17.65,3.3,157.0,3.2,3.1,38,0.29561792226280453
230.0,2025-03-07,14.55,385.0,14.6,14.4,4.8,100.0,4.6,4.45,38,0.2910305479681079
235.0,2025-03-07,11.0,287.0,11.35,11.15,6.46,158.0,6.4,6.25,38,0.27411046500988284
240.0,2025-03-07,8.55,416.0,8.55,8.45,8.75,178.0,8.65,8.5,38,0.2798428696220742
260.0,2025-03-07,2.05,801.0,2.2,2.11,30.2,16.0,22.75,21.75,38,0.26849981133160933
20.0,2025-03-21,208.36,8.0,219.65,218.75,0.01,15.0,0.0,0.0,52,0.3199660689222619
55.0,2025-03-21,203.05,13.0,169.05,167.15,0.01,10.0,0.01,0.0,52,0.3199660689222619
85.0,2025-03-21,151.82,6.0,154.9,154.1,0.03,23.0,0.04,0.02,52,0.3199660689222619
95.0,2025-03-21,139.27,9.0,145.15,144.25,0.03,18.0,0.05,0.03,52,0.3199660689222619
160.0,2025-03-21,79.16,66.0,80.35,79.9,0.21,227.0,0.21,0.2,52,0.5024094933317137
165.0,2025-03-21,74.43,21.0,75.4,75.05,0.23,182.0,0.24,0.23,52,0.4748805121050428
180.0,2025-03-21,59.99,14.0,60.65,60.3,0.34,132.0,0.34,0.33,52,0.40168476866158903
185.0,2025-03-21,55.3,8.0,55.7,55.45,0.4,1420.0,0.4,0.39,52,0.37950884489677966
190.0,2025-03-21,50.85,67.0,50.75,50.3,0.48,438.0,0.48,0.46,52,0.3585268881681515
200.0,2025-03-21,40.59,90.0,41.15,40.95,0.77,1933.0,0.78,0.76,52,0.3233846251410586
205.0,2025-03-21,36.04,78.0,36.5,36.2,1.03,1216.0,1.04,1.02,52,0.3096423004290852
210.0,2025-03-21,31.3,84.0,31.8,31.6,1.43,1816.0,1.42,1.39,52,0.2992286979076485
215.0,2025-03-21,26.92,97.0,27.45,27.2,1.96,1696.0,1.97,1.94,52,0.28844152932585804
220.0,2025-03-21,23.0,662.0,23.15,23.0,2.69,4970.0,2.76,2.72,52,0.278726326588675
225.0,2025-03-21,18.9,1281.0,19.2,19.05,3.75,3266.0,3.8,3.7,52,0.2725567016131832
230.0,2025-03-21,15.55,2628.0,15.6,15.45,5.15,1327.0,5.15,5.1,52,0.271954192023007
235.0,2025-03-21,12.25,2532.0,12.4,12.3,7.0,4617.0,7.0,6.9,52,0.26470261693304975
240.0,2025-03-21,9.5,5523.0,9.6,9.5,9.25,1079.0,9.3,9.2,52,0.26007292645819613
245.0,2025-03-21,7.0,1592.0,7.25,7.15,11.94,255.0,12.05,11.9,52,0.25180097543395885
250.0,2025-03-21,5.35,6632.0,5.4,5.3,15.7,73.0,15.2,15.1,52,0.25602428303477415
260.0,2025-03-21,2.78,4982.0,2.81,2.76,22.0,13.0,22.9,22.65,52,0.2549114797589911
270.0,2025-03-21,1.44,2209.0,1.43,1.41,32.0,10.0,31.75,31.55,52,0.26048749015597716
275.0,2025-03-21,0.99,1493.0,1.03,1.01,52.4,35.0,36.8,36.0,52,0.2611335771725273
285.0,2025-03-21,0.57,227.0,0.58,0.57,41.59,191.0,46.5,45.45,52,0.27538675370925814
295.0,2025-03-21,0.38,237.0,0.36,0.34,42.07,10.0,56.35,55.55,52,0.2952177434134826
320.0,2025-03-21,0.13,150.0,0.14,0.12,67.05,10.0,81.4,80.35,52,0.3313958547034679
340.0,2025-03-21,0.06,20.0,0.08,0.06,116.26,8.0,91.8,91.15,52,0.3566568975366066
130.0,2025-04-17,91.76,23.0,110.9,110.2,0.2,20.0,0.16,0.14,79,0.23017822025591858
180.0,2025-04-17,52.98,39.0,61.6,60.8,0.52,19.0,0.53,0.52,79,0.060834384172628875
185.0,2025-04-17,56.5,7.0,56.7,56.25,0.65,31.0,0.64,0.62,79,0.34094536065256165
190.0,2025-04-17,47.33,10.0,52.05,51.25,0.8,192.0,0.78,0.77,79,0.3262263714040852
195.0,2025-04-17,46.95,2056.0,47.0,46.8,0.96,2057.0,0.98,0.96,79,0.309661335183372
200.0,2025-04-17,42.25,1489.0,42.45,42.05,1.23,2603.0,1.25,1.23,79,0.29777991698269096
205.0,2025-04-17,37.26,31.0,37.85,37.5,1.62,923.0,1.63,1.6,79,0.28832437868482313
210.0,2025-04-17,33.0,49.0,33.35,33.1,2.18,588.0,2.13,2.09,79,0.28141939207716166
215.0,2025-04-17,28.23,286.0,29.05,28.8,2.86,1019.0,2.8,2.76,79,0.27314490619012566
220.0,2025-04-17,24.25,522.0,24.9,24.75,3.75,496.0,3.7,3.65,79,0.25246015836625035
225.0,2025-04-17,21.05,371.0,21.1,20.9,4.9,1202.0,4.85,4.8,79,0.2595709065955815
230.0,2025-04-17,17.51,961.0,17.55,17.4,6.52,597.0,6.35,6.25,79,0.2575921484473224
235.0,2025-04-17,14.21,534.0,14.4,14.2,8.45,162.0,8.2,8.1,79,0.24944955586874307
240.0,2025-04-17,11.5,1511.0,11.55,11.5,10.4,139.0,10.55,10.3,79,0.24738803698701187
245.0,2025-04-17,8.86,1908.0,9.1,9.0,13.2,383.0,13.15,13.05,79,0.23890888526140086
250.0,2025-04-17,6.9,1873.0,7.05,7.0,16.55,336.0,16.2,16.0,79,0.23777092762603036
255.0,2025-04-17,5.35,1338.0,5.4,5.3,19.8,67.0,19.7,19.45,79,0.2384799505764261
260.0,2025-04-17,4.05,969.0,4.1,4.0,23.0,77.0,23.5,23.25,79,0.2379911426469579
265.0,2025-04-17,3.05,5369.0,3.1,3.0,27.73,19.0,27.7,27.25,79,0.23857512821705476
270.0,2025-04-17,2.17,1458.0,2.26,2.23,33.25,12.0,32.1,31.8,79,0.23562980310341622
275.0,2025-04-17,1.65,838.0,1.7,1.66,37.0,10.0,36.7,36.3,79,0.23907183077953476
280.0,2025-04-17,1.2,783.0,1.27,1.25,57.45,71.0,41.45,41.0,79,0.23984003835692508
185.0,2025-05-16,57.11,14.0,57.9,56.85,1.25,47.0,1.05,1.02,108,0.33958982741913235
195.0,2025-05-16,48.15,2795.0,48.2,47.95,1.57,2984.0,1.6,1.58,108,0.30301141689429234
200.0,2025-05-16,44.12,237.0,43.65,43.0,2.03,2297.0,2.01,1.97,108,0.29636630419611504
210.0,2025-05-16,34.5,23.0,34.95,34.4,3.2,193.0,3.2,3.15,108,0.27982707047219013
215.0,2025-05-16,30.7,97.0,30.85,30.6,4.0,209.0,4.05,3.95,108,0.2720475069255092
220.0,2025-05-16,26.27,138.0,26.95,26.7,5.16,115.0,5.1,5.0,108,0.25387208407070583
225.0,2025-05-16,23.05,139.0,23.3,23.0,6.55,76.0,6.45,6.35,108,0.2598050757233197
230.0,2025-05-16,19.85,798.0,19.85,19.6,8.05,184.0,8.05,7.9,108,0.2592100521544532
235.0,2025-05-16,16.35,286.0,16.8,16.55,9.94,103.0,9.85,9.75,108,0.24683296011060465
240.0,2025-05-16,13.9,1413.0,13.95,13.85,12.25,84.0,12.1,12.0,108,0.24994330122098796
245.0,2025-05-16,11.4,336.0,11.5,11.4,15.01,65.0,14.7,14.55,108,0.2461547944138359
250.0,2025-05-16,9.35,1353.0,9.35,9.25,17.65,47.0,18.0,17.55,108,0.24536359549870965
260.0,2025-05-16,5.8,1343.0,6.0,5.85,24.74,63.0,24.6,24.3,108,0.2377115917253075
265.0,2025-05-16,4.5,279.0,4.7,4.65,30.55,15.0,28.9,28.15,108,0.23546100108145662
50.0,2025-06-20,180.68,37.0,190.2,189.2,0.03,15.0,0.04,0.01,143,0.3199660689222619
60.0,2025-06-20,162.9,38.0,180.25,179.3,0.04,100.0,0.19,0.02,143,0.3199660689222619
65.0,2025-06-20,165.34,55.0,175.45,174.4,0.04,1637.0,0.06,0.03,143,0.3199660689222619
110.0,2025-06-20,117.97,34.0,131.35,130.35,0.18,110.0,0.19,0.18,143,0.5432311149734186
